Place	Lat	Lng	Region	Postcode
The Old Coastguard Station	54.4301932	-0.5344168	Yorkshire and North East	YO22 4SJ
Ormesby Hall	54.543212	-1.1851796	Yorkshire and North East	TS3 0SR
Rievaulx Terrace	54.258384	-1.113169	Yorkshire and North East	YO62 5LJ
Roseberry Topping	54.5053561	-1.1094487	Yorkshire and North East	TS9 6QR
Seaton Delaval Hall	55.0822261	-1.4987563	Yorkshire and North East	NE26 4QR
Souter Lighthouse and The Leas	54.9704398	-1.3666295	Yorkshire and North East	SR6 7NH
Treasurer's House, York	53.9627671	-1.0831617	Yorkshire and North East	YO1 7JL
Wallington	55.1522038	-1.95854	Yorkshire and North East	NE61 4AR
Washington Old Hall	54.9027059	-1.5187395	Yorkshire and North East	NE38 7LE
Yorkshire Coast	54.3186075	-0.8642228	Yorkshire and North East	YO13 0NE
